Name,Roll_No,Branch,CGPA,DSA_Score,WebDev_Score,ML_Score,Aptitude_Score,Communication_Score,Internships,Projects,Hackathons,Placement_Status,Salary_LPA,Company
Aarav Bhatia,2200CS261,CSE,5.48,59,46,36,21,29,2,2,2,Placed,3.74,Sasken
Diya Pandey,2300EE262,EE,7.23,11,51,46,70,57,3,5,2,Not Placed,0.0,Not Placed
Krishna Das,2100CE263,CE,8.68,74,47,39,65,55,2,4,2,Placed,6.21,Hexaware
Vishal Chatterjee,2300CS264,CSE,8.05,67,36,49,57,71,3,3,1,Placed,8.01,Mindtree
Varun Thakur,2200EC265,ECE,7.73,51,48,54,59,75,1,8,1,Not Placed,0.0,Not Placed
Sachin Rajput,2300EC266,ECE,6.12,26,41,25,49,0,1,2,2,Not Placed,0.0,Not Placed
Megha Verma,2100CS267,CSE,7.68,67,67,77,48,58,2,7,4,Placed,4.54,Syntel
Komal Patel,2400CS268,CSE,5.62,28,69,26,58,43,2,4,0,Not Placed,0.0,Not Placed
Aadhya Mishra,2300EE269,EE,7.86,74,54,47,41,57,3,5,3,Placed,11.22,L&T Infotech
Vihaan Jain,2300EE270,EE,4.88,19,65,25,45,26,0,1,1,Not Placed,0.0,Not Placed
Anjali Dhawan,2300CS271,CSE,7.38,43,17,49,53,65,2,3,2,Not Placed,0.0,Not Placed
Bhavna Dhawan,2400CE272,CE,5.32,30,55,0,21,46,0,2,1,Not Placed,0.0,Not Placed
Dev Agarwal,2200EE273,EE,5.23,15,17,48,35,45,0,2,1,Not Placed,0.0,Not Placed
Jyoti Srivastava,2400IT274,IT,8.86,62,51,68,57,72,2,8,1,Placed,11.17,Accenture
Swati Das,2100EC275,ECE,5.14,36,73,0,33,44,1,2,3,Not Placed,0.0,Not Placed
Komal Malhotra,2300ME276,ME,7.91,69,56,31,61,74,3,4,1,Placed,4.38,Sapient
Kartik Joshi,2100ME277,ME,7.36,18,84,44,42,54,2,2,1,Placed,3.52,NIIT
Sai Mukherjee,2100IT278,IT,7.58,74,66,54,59,42,2,6,5,Placed,9.36,Hexaware
Myra Khanna,2100CS279,CSE,8.79,76,80,54,59,65,2,5,1,Placed,44.09,Qualcomm
Trisha Agarwal,2400IT280,IT,4.77,32,58,41,17,59,1,2,3,Not Placed,0.0,Not Placed
Trisha Mukherjee,2100EC281,ECE,7.21,43,58,62,47,44,3,5,2,Placed,8.6,Cognizant
Meghna Patel,2200CS282,CSE,8.08,93,51,42,75,58,0,3,2,Placed,10.06,Wipro
Pooja Patel,2300EC283,ECE,9.52,66,40,75,76,60,1,7,3,Placed,6.86,Paytm
Anika Rastogi,2200EE284,EE,7.24,45,55,26,44,39,1,4,1,Not Placed,0.0,Not Placed
Aishwarya Bajaj,2100CS285,CSE,8.31,85,91,39,75,15,4,7,0,Placed,9.42,L&T Infotech
Diya Pandey,2300CE286,CE,7.89,57,29,61,49,36,0,1,2,Placed,3.39,iGate
Meghna Sharma,2200CS287,CSE,6.42,46,68,46,74,69,2,2,4,Placed,9.69,Paytm
Ankit Reddy,2100EC288,ECE,5.99,51,34,37,43,48,1,7,2,Not Placed,0.0,Not Placed
Mayank Verma,2100CE289,CE,6.81,68,58,50,34,47,3,6,0,Placed,4.82,Cyient
Mohit Das,2400CS290,CSE,6.68,44,54,41,47,64,2,4,0,Placed,3.76,Sapient
Rahul Goel,2300CS291,CSE,6.8,40,84,31,59,53,3,8,1,Placed,4.99,Sasken
Aditya Yadav,2200IT292,IT,7.07,80,61,58,47,67,3,4,2,Placed,4.01,Sasken
Kartik Mishra,2300CS293,CSE,8.88,74,84,47,71,35,2,1,3,Placed,38.83,Samsung R&D
Ritika Dhawan,2400EC294,ECE,6.5,34,61,45,24,38,3,7,3,Placed,8.9,Capgemini
Sneha Thakur,2100IT295,IT,6.93,56,27,41,46,56,2,4,2,Placed,3.44,Sapient
Anika Bansal,2400CS296,CSE,8.36,71,50,79,49,55,4,7,5,Placed,11.91,Mindtree
Saanvi Srivastava,2400IT297,IT,6.45,67,69,22,35,36,1,3,1,Not Placed,0.0,Not Placed
Aarav Dubey,2300ME298,ME,6.85,52,51,28,41,51,2,7,3,Not Placed,0.0,Not Placed
Aman Jain,2300ME299,ME,7.91,52,64,46,41,86,0,2,0,Placed,8.75,Cognizant
Anika Sharma,2400EE300,EE,8.36,71,54,42,60,0,1,6,2,Placed,5.05,Hexaware
Riya Jain,2400EC301,ECE,7.97,71,40,0,59,43,2,5,0,Placed,6.47,Mindtree
Ravi Khanna,2300CE302,CE,7.57,45,53,28,71,41,1,4,2,Not Placed,0.0,Not Placed
Nikhil Gupta,2400ME303,ME,6.9,42,49,58,49,50,4,8,2,Placed,10.45,TCS
Aadhya Malhotra,2400IT304,IT,6.52,50,33,25,19,41,0,4,2,Not Placed,0.0,Not Placed
Nupur Das,2300ME305,ME,5.28,42,16,23,30,32,1,2,1,Not Placed,0.0,Not Placed
Nikhil Verma,2300CE306,CE,8.68,53,67,45,61,52,2,5,1,Placed,11.92,Wipro
Khushi Arora,2100CS307,CSE,9.04,74,69,58,87,42,2,4,0,Placed,7.58,Capgemini
Aryan Mukherjee,2400EE308,EE,8.55,73,16,40,55,63,2,5,0,Placed,5.52,Mindtree
Nikhil Goel,2300CE309,CE,8.24,55,38,35,41,52,1,2,0,Not Placed,0.0,Not Placed
Kunal Chauhan,2100EC310,ECE,10.0,100,42,68,66,41,3,3,3,Placed,33.21,Oracle
Suraj Thakur,2200ME311,ME,6.24,44,46,24,34,39,0,4,1,Not Placed,0.0,Not Placed
Meghna Yadav,2200IT312,IT,6.72,55,31,35,24,28,2,4,2,Not Placed,0.0,Not Placed
Ishaan Mehta,2200EC313,ECE,6.97,41,68,55,51,27,1,8,1,Placed,4.59,Concentrix
Himanshu Kumar,2200ME314,ME,7.11,38,36,22,50,45,2,4,1,Placed,3.19,Syntel
Preeti Chopra,2400IT315,IT,7.4,43,78,75,70,28,2,8,2,Placed,7.42,Mphasis
Aditi Malhotra,2200EE316,EE,8.11,55,46,59,62,46,2,7,2,Placed,20.89,Samsung R&D
Vishal Chatterjee,2300CS317,CSE,7.85,70,63,78,70,54,2,4,2,Placed,4.78,Zoho
Nikita Singh,2300ME318,ME,8.05,100,66,31,52,45,2,6,2,Placed,8.77,Mindtree
Harsh Iyer,2400EE319,EE,7.18,52,55,49,50,42,1,5,3,Placed,4.87,Mu Sigma
Rahul Bansal,2100CE320,CE,7.98,67,64,83,88,40,3,8,2,Placed,11.12,Mphasis
Rajat Dhawan,2400CS321,CSE,8.5,70,76,55,34,71,2,8,1,Placed,5.68,Tech Mahindra
Varun Chopra,2200EE322,EE,6.22,55,68,42,65,48,2,3,1,Placed,11.77,Accenture
Bhavna Yadav,2100IT323,IT,10.0,91,60,30,65,34,0,6,1,Placed,42.82,Samsung R&D
Kunal Mishra,2200ME324,ME,8.43,71,59,49,67,58,2,4,1,Placed,11.63,TCS
Neeraj Chatterjee,2400IT325,IT,5.71,72,33,2,50,20,4,2,0,Not Placed,0.0,Not Placed
Rahul Arora,2300ME326,ME,6.87,48,46,38,55,64,0,8,0,Placed,3.37,Amdocs
Sonam Kapoor,2100CS327,CSE,6.75,51,70,43,64,63,3,7,2,Placed,3.88,Sapient
Kunal Patel,2400IT328,IT,10.0,99,57,82,61,50,3,7,0,Placed,20.93,Goldman Sachs
Charu Dhawan,2200IT329,IT,7.67,81,60,46,46,37,0,4,2,Not Placed,0.0,Not Placed
Isha Sethi,2200CS330,CSE,7.82,65,76,87,32,74,3,5,3,Placed,6.0,Byju's
Simran Reddy,2200IT331,IT,6.79,84,51,32,35,100,3,6,3,Placed,4.81,Sasken
Harsh Khanna,2400EC332,ECE,7.18,39,59,54,65,50,1,7,0,Placed,3.5,Sapient
Yash Rajput,2100IT333,IT,5.62,40,30,1,66,67,2,4,0,Not Placed,0.0,Not Placed
Bhavna Arora,2100ME334,ME,5.6,46,58,68,21,57,3,3,1,Placed,4.61,Sapient
Riya Dubey,2300EC335,ECE,6.0,52,60,52,34,57,2,8,1,Not Placed,0.0,Not Placed
Priya Srivastava,2200CE336,CE,6.79,64,41,22,37,31,2,4,1,Not Placed,0.0,Not Placed
Vihaan Bansal,2100EE337,EE,6.89,34,36,47,50,52,3,6,1,Not Placed,0.0,Not Placed
Yash Kapoor,2200CS338,CSE,7.81,85,44,40,49,38,3,8,1,Placed,11.92,L&T Infotech
Sara Chauhan,2200CS339,CSE,9.51,80,30,29,71,69,4,8,2,Placed,29.38,Qualcomm
Sachin Chatterjee,2100CS340,CSE,7.22,57,10,23,60,65,1,3,0,Placed,3.26,Amdocs
Vidhi Saxena,2400CS341,CSE,9.23,79,100,66,68,47,2,7,2,Placed,43.94,Qualcomm
Preeti Chatterjee,2200CE342,CE,6.67,27,81,17,62,22,1,5,1,Not Placed,0.0,Not Placed
Harsh Joshi,2200EC343,ECE,6.82,48,54,44,38,65,1,3,1,Not Placed,0.0,Not Placed
Vidhi Chopra,2400IT344,IT,8.22,71,43,40,17,68,4,5,1,Placed,3.08,Syntel
Sonam Nair,2400EC345,ECE,6.56,55,31,38,62,54,1,2,2,Not Placed,0.0,Not Placed
Advik Dhawan,2200IT346,IT,7.78,46,50,45,80,32,2,4,2,Placed,3.62,iGate
Vikas Joshi,2300ME347,ME,9.1,76,73,54,59,47,2,4,0,Placed,10.65,Mindtree
Neeraj Rajput,2100IT348,IT,9.75,94,72,58,39,72,4,7,1,Placed,26.39,Goldman Sachs
Himanshu Chauhan,2300ME349,ME,4.51,32,39,30,30,47,0,2,0,Not Placed,0.0,Not Placed
Bhavna Yadav,2400EE350,EE,6.21,30,72,45,39,59,2,2,2,Not Placed,0.0,Not Placed
Advaith Chatterjee,2300CS351,CSE,6.71,47,66,40,28,42,0,8,2,Placed,4.33,Mu Sigma
Ananya Reddy,2300CS352,CSE,9.53,100,91,58,65,28,2,8,1,Placed,42.69,Adobe
Isha Arora,2200IT353,IT,8.66,60,63,39,74,56,3,3,1,Placed,5.87,TCS
Pari Kapoor,2200IT354,IT,9.77,71,71,45,77,36,3,7,2,Placed,16.19,Amazon
Ritvik Joshi,2200IT355,IT,8.0,87,65,21,67,62,2,7,3,Placed,8.51,Zoho
Jyoti Bajaj,2100CE356,CE,6.49,6,38,28,51,45,0,2,1,Not Placed,0.0,Not Placed
Arjun Mehta,2200EC357,ECE,8.44,69,46,56,60,71,2,6,3,Placed,8.86,Paytm
Manish Dhawan,2400ME358,ME,9.33,54,79,71,45,52,2,8,1,Placed,37.45,Microsoft
Neha Goel,2100CS359,CSE,6.96,62,66,42,16,71,2,4,4,Placed,8.39,TCS
Ankur Bajaj,2400CS360,CSE,6.82,35,74,33,30,46,1,8,0,Placed,4.94,NIIT
Prateek Dhawan,2100CE361,CE,6.72,44,42,25,46,12,1,6,1,Not Placed,0.0,Not Placed
Neeraj Yadav,2300CS362,CSE,8.53,81,70,47,69,50,2,2,2,Placed,4.5,Capgemini
Rajat Bhatia,2200ME363,ME,5.96,34,0,7,25,48,0,3,1,Not Placed,0.0,Not Placed
Riya Mishra,2300EC364,ECE,5.81,45,92,38,41,45,3,4,1,Not Placed,0.0,Not Placed
Suraj Bhatt,2100EC365,ECE,7.05,47,26,52,45,40,2,3,1,Placed,4.98,Amdocs
Saanvi Nair,2300CS366,CSE,6.62,85,22,84,41,52,1,4,3,Placed,8.5,Cognizant
Amit Kumar,2300EE367,EE,5.62,60,20,72,5,39,1,3,2,Not Placed,0.0,Not Placed
Sachin Patel,2300ME368,ME,7.55,51,41,70,71,54,2,7,1,Placed,7.52,Wipro
Amit Bhatt,2300EC369,ECE,6.31,40,25,66,52,36,4,3,2,Not Placed,0.0,Not Placed
Aman Iyer,2400CS370,CSE,6.18,64,50,29,16,73,1,5,1,Not Placed,0.0,Not Placed
Krishna Kumar,2400EC371,ECE,8.87,54,47,60,59,67,2,4,2,Placed,3.92,Mu Sigma
Priya Gupta,2200CS372,CSE,7.31,66,41,29,57,34,0,3,1,Not Placed,0.0,Not Placed
Rohan Goel,2400EC373,ECE,7.69,32,41,63,59,27,1,5,3,Not Placed,0.0,Not Placed
Shruti Gupta,2200ME374,ME,4.2,26,63,15,0,28,0,4,3,Not Placed,0.0,Not Placed
Meghna Singh,2300EC375,ECE,6.05,50,18,55,44,58,1,5,0,Not Placed,0.0,Not Placed
Anika Arora,2400EC376,ECE,6.62,58,55,28,44,39,2,7,0,Placed,4.0,Amdocs
Anjali Kapoor,2200CE377,CE,6.62,60,54,17,22,26,0,3,1,Not Placed,0.0,Not Placed
Khushi Rawat,2300CE378,CE,7.41,55,78,24,84,40,1,6,4,Placed,5.61,Byju's
Isha Mukherjee,2100ME379,ME,4.62,50,40,23,36,24,0,3,2,Not Placed,0.0,Not Placed
Radhika Pandey,2300CS380,CSE,8.1,82,77,31,63,31,4,6,1,Placed,7.86,Accenture
Sai Malhotra,2300IT381,IT,6.7,73,47,16,50,51,2,8,1,Placed,4.92,Cognizant
Radhika Mukherjee,2200CS382,CSE,5.14,32,11,21,41,27,1,3,0,Not Placed,0.0,Not Placed
Meghna Chatterjee,2100ME383,ME,8.18,57,89,40,61,77,2,8,4,Placed,4.9,Hexaware
Shivani Mukherjee,2300EE384,EE,9.94,88,48,58,85,74,2,5,4,Placed,23.72,Google
Yash Reddy,2300CS385,CSE,9.04,81,58,61,89,33,2,6,1,Placed,10.11,Mindtree
Arjun Yadav,2400CE386,CE,7.94,57,80,85,67,57,2,5,2,Placed,9.47,TCS
Vihaan Saxena,2300CS387,CSE,8.78,66,71,31,58,40,4,6,1,Placed,7.34,Accenture
Kriti Gupta,2200CS388,CSE,7.54,92,38,59,38,29,0,5,1,Placed,3.68,Syntel
Divya Chatterjee,2100EE389,EE,7.97,60,44,21,61,87,2,0,1,Placed,3.47,Sasken
Suraj Arora,2400CS390,CSE,8.37,80,59,38,62,26,2,8,1,Placed,6.05,Accenture
Neha Agarwal,2100CE391,CE,5.52,32,13,51,49,62,1,2,3,Not Placed,0.0,Not Placed
Prateek Rajput,2400CS392,CSE,8.68,86,63,24,38,27,2,2,1,Placed,4.95,Cyient
Dhruv Mehta,2400CS393,CSE,8.73,58,39,56,78,92,2,2,3,Placed,10.67,HCL
Khushi Rawat,2200CS394,CSE,5.57,31,23,26,57,45,0,4,2,Not Placed,0.0,Not Placed
Krishna Kumar,2400CS395,CSE,6.74,50,74,57,47,67,0,0,1,Not Placed,0.0,Not Placed
Neeraj Chatterjee,2100CS396,CSE,7.24,48,78,59,43,59,3,5,2,Placed,11.26,Zoho
Trisha Bhatia,2100CS397,CSE,5.89,33,39,56,51,43,4,2,4,Placed,3.08,Cyient
Simran Chauhan,2200CE398,CE,6.17,35,82,18,41,39,3,8,1,Placed,3.44,Sapient
Ayaan Tiwari,2200IT399,IT,6.17,61,59,54,39,55,1,3,1,Placed,4.82,Genpact
Diya Arora,2300CS400,CSE,8.65,93,28,70,52,70,3,4,3,Placed,28.43,Samsung R&D
Rajat Mishra,2100CE401,CE,6.97,43,68,29,29,40,2,4,1,Placed,3.54,iGate
Nupur Joshi,2400CE402,CE,7.27,52,30,37,50,47,4,7,0,Not Placed,0.0,Not Placed
Kriti Kumar,2200IT403,IT,7.12,35,88,63,42,66,2,5,1,Placed,9.62,Accenture
Varun Iyer,2300EC404,ECE,7.09,67,52,44,63,51,0,6,2,Placed,10.28,Wipro
Aman Jain,2400IT405,IT,7.36,49,86,55,40,39,2,5,0,Placed,4.87,Cyient
Ayaan Rajput,2200CE406,CE,7.99,49,58,46,79,34,1,4,2,Placed,6.91,Cognizant
Shaurya Malhotra,2200CS407,CSE,7.23,81,57,35,59,36,2,6,0,Placed,9.64,Accenture
Isha Mehta,2200IT408,IT,8.02,62,58,67,71,28,2,3,0,Placed,11.52,Mphasis
Myra Goel,2100EC409,ECE,6.59,59,36,13,32,39,1,3,0,Not Placed,0.0,Not Placed
Saurabh Sethi,2200IT410,IT,7.2,70,32,51,39,41,1,2,1,Not Placed,0.0,Not Placed
Yash Bajaj,2300CS411,CSE,8.24,81,68,47,70,16,1,6,4,Placed,9.83,Paytm
Arjun Mishra,2100EC412,ECE,7.22,46,68,24,57,26,3,4,2,Placed,4.59,Sasken
Megha Dubey,2400CS413,CSE,7.75,76,45,69,34,33,1,5,1,Placed,7.02,L&T Infotech
Prateek Bhatt,2300EE414,EE,6.71,59,63,39,42,48,0,4,4,Placed,3.52,iGate
Neha Reddy,2300ME415,ME,7.86,50,41,29,31,0,1,2,1,Placed,4.49,Syntel
Dev Singh,2200CE416,CE,5.78,37,19,38,29,44,3,7,3,Placed,4.64,Syntel
Aparna Iyer,2200EC417,ECE,7.07,48,21,77,44,53,1,3,0,Placed,10.6,Accenture
Rohan Malhotra,2300CS418,CSE,7.18,38,82,45,71,45,3,3,2,Placed,4.15,Amdocs
Himanshu Arora,2100IT419,IT,6.67,37,51,49,53,47,4,4,4,Not Placed,0.0,Not Placed
Neha Iyer,2100IT420,IT,8.32,73,81,85,40,50,0,6,1,Placed,10.21,Cognizant
Neha Yadav,2100CS421,CSE,9.25,58,76,53,58,43,1,5,0,Placed,9.31,TCS
Anjali Bajaj,2400IT422,IT,6.38,43,31,61,52,31,2,4,3,Not Placed,0.0,Not Placed
Shaurya Malhotra,2300EE423,EE,8.99,73,56,47,73,49,2,1,1,Placed,3.89,Genpact
Prateek Thakur,2400CS424,CSE,7.96,80,63,39,63,55,0,5,1,Placed,5.51,Tech Mahindra
Ritika Verma,2100IT425,IT,6.81,39,55,24,23,29,4,2,2,Not Placed,0.0,Not Placed
Bhavna Iyer,2200CS426,CSE,9.07,94,46,76,66,71,3,5,4,Placed,37.98,Adobe
Ananya Singh,2300EC427,ECE,6.89,36,37,40,63,53,2,7,1,Placed,9.36,Tech Mahindra
Tanvi Bhatt,2100IT428,IT,9.42,70,71,44,78,67,1,8,1,Placed,14.31,Microsoft
Myra Mehta,2300EC429,ECE,6.79,40,25,39,45,56,1,7,2,Placed,4.09,Amdocs
Saanvi Reddy,2100EC430,ECE,7.65,24,32,76,65,59,1,6,2,Placed,4.65,L&T Infotech
Rahul Khanna,2300EC431,ECE,7.31,63,39,60,36,31,0,6,2,Placed,3.53,NIIT
Bhavna Chatterjee,2300EC432,ECE,4.81,1,35,18,23,32,0,2,1,Not Placed,0.0,Not Placed
Krishna Patel,2400CE433,CE,6.62,16,15,34,39,84,1,3,0,Placed,4.0,Sapient
Aishwarya Arora,2200CS434,CSE,7.29,56,62,32,36,52,0,4,1,Not Placed,0.0,Not Placed
Abhishek Thakur,2400IT435,IT,6.72,38,66,35,43,57,2,6,2,Placed,3.14,Cyient
Vivaan Gupta,2200ME436,ME,6.46,58,26,62,72,52,3,7,0,Not Placed,0.0,Not Placed
Aparna Rajput,2400CS437,CSE,6.42,41,64,2,32,47,0,2,1,Not Placed,0.0,Not Placed
Abhishek Thakur,2200CS438,CSE,8.71,100,41,62,54,46,4,5,3,Placed,16.2,Flipkart
Navya Reddy,2300IT439,IT,8.12,63,47,52,36,64,1,4,2,Placed,4.13,Sasken
Bhavna Thakur,2400IT440,IT,9.5,84,74,46,76,45,2,4,2,Placed,10.26,Hexaware
Aparna Verma,2300CS441,CSE,8.88,75,59,74,61,79,3,6,0,Placed,11.09,Accenture
Ankur Sethi,2300IT442,IT,5.8,65,18,17,26,14,2,3,2,Not Placed,0.0,Not Placed
Abhishek Joshi,2300CS443,CSE,7.78,71,60,36,83,43,3,3,2,Placed,10.63,Mphasis
Sachin Singh,2400CE444,CE,6.24,68,74,45,52,43,1,1,1,Placed,3.75,Concentrix
Sara Saxena,2100CS445,CSE,6.69,35,88,39,46,59,2,4,2,Placed,5.55,L&T Infotech
Advik Verma,2400IT446,IT,6.5,57,46,42,46,49,2,8,2,Placed,8.45,Accenture
Sara Das,2200CS447,CSE,5.55,62,50,36,22,24,0,3,3,Not Placed,0.0,Not Placed
Bhavna Bajaj,2400CE448,CE,5.21,18,0,11,45,36,2,4,0,Not Placed,0.0,Not Placed
Neeraj Jain,2200IT449,IT,8.32,87,68,64,65,56,2,3,2,Placed,3.23,Cyient
Trisha Joshi,2400EC450,ECE,6.84,45,72,8,65,32,2,5,1,Not Placed,0.0,Not Placed
Riya Iyer,2300CS451,CSE,8.14,66,22,53,33,54,2,6,1,Placed,5.13,Mindtree
Vidhi Mehta,2400CS452,CSE,7.24,60,56,39,60,43,1,4,2,Not Placed,0.0,Not Placed
Aryan Rastogi,2300CE453,CE,8.78,94,50,37,74,48,4,3,4,Placed,4.81,HCL
Sonam Bansal,2200IT454,IT,8.11,72,53,54,50,42,4,7,0,Placed,7.67,Hexaware
Nidhi Joshi,2300EC455,ECE,7.87,79,37,60,67,37,2,5,2,Placed,7.75,Mindtree
Tanvi Agarwal,2400CS456,CSE,9.78,86,91,63,66,54,4,7,3,Placed,27.21,Uber
Sonam Yadav,2300IT457,IT,9.49,100,59,89,64,54,4,8,3,Placed,43.73,Google
Nupur Mishra,2300EC458,ECE,6.59,69,22,11,62,7,2,3,0,Not Placed,0.0,Not Placed
Megha Mehta,2400EC459,ECE,8.09,73,48,70,68,60,3,6,0,Placed,6.55,HCL
Akash Rastogi,2300CS460,CSE,8.34,63,59,52,34,27,1,4,3,Placed,11.59,Wipro
Rajat Sethi,2200IT461,IT,9.58,77,100,88,71,65,4,4,3,Placed,15.07,Adobe
Yash Rajput,2200EC462,ECE,5.24,35,49,25,55,31,1,4,0,Not Placed,0.0,Not Placed
Aditya Patel,2400ME463,ME,6.06,59,19,47,56,62,1,3,1,Not Placed,0.0,Not Placed
Nupur Joshi,2100IT464,IT,6.54,72,38,25,39,54,1,4,1,Not Placed,0.0,Not Placed
Aarav Khanna,2200IT465,IT,6.49,86,54,57,34,25,2,1,3,Not Placed,0.0,Not Placed
Megha Joshi,2400CE466,CE,7.94,81,44,63,58,25,2,8,3,Placed,5.74,Mphasis
Himanshu Bansal,2300IT467,IT,6.31,40,25,17,64,31,2,6,0,Not Placed,0.0,Not Placed
Megha Singh,2100EE468,EE,6.24,52,59,22,58,61,1,5,2,Placed,3.12,Sasken
Akash Gupta,2200EE469,EE,7.88,67,58,59,62,47,4,5,3,Placed,5.95,Capgemini
Vivaan Reddy,2400CS470,CSE,10.0,98,83,74,94,67,1,3,3,Placed,8.51,Wipro
Saanvi Sharma,2300CE471,CE,8.52,61,62,85,37,69,2,1,2,Placed,4.37,Sasken
Kunal Bansal,2400CS472,CSE,5.35,51,36,11,39,16,0,4,1,Not Placed,0.0,Not Placed
Myra Thakur,2400EC473,ECE,8.06,72,52,85,77,63,3,8,2,Placed,4.51,Cognizant
Ayaan Kapoor,2200ME474,ME,6.46,24,30,32,28,27,1,2,1,Not Placed,0.0,Not Placed
Megha Mehta,2200EC475,ECE,6.93,68,24,63,48,50,1,8,0,Placed,6.68,TCS
Tanvi Chopra,2200EC476,ECE,7.33,19,44,39,59,31,1,5,2,Not Placed,0.0,Not Placed
Rajat Reddy,2400EC477,ECE,7.21,40,37,71,85,54,2,5,3,Placed,3.92,Cyient
Isha Reddy,2100CE478,CE,6.88,57,39,54,77,33,2,2,1,Not Placed,0.0,Not Placed
Krishna Joshi,2300CS479,CSE,7.04,69,52,55,69,69,1,6,1,Placed,9.16,Byju's
Aarav Mehta,2400CE480,CE,8.68,66,40,46,42,35,3,3,1,Placed,3.81,Genpact
Preeti Rastogi,2300IT481,IT,7.99,70,86,50,49,26,2,4,1,Placed,3.09,iGate
Dhruv Arora,2200EC482,ECE,8.07,69,25,50,71,72,1,7,1,Placed,7.4,TCS
Deepak Goel,2200IT483,IT,6.61,71,54,32,39,57,0,4,1,Not Placed,0.0,Not Placed
Vidhi Thakur,2300IT484,IT,4.96,39,33,6,48,55,1,3,0,Not Placed,0.0,Not Placed
Tushar Bansal,2300EC485,ECE,5.45,51,43,5,42,64,0,5,0,Not Placed,0.0,Not Placed
Advaith Jain,2400IT486,IT,8.12,72,60,33,60,16,0,5,3,Placed,7.7,Wipro
Garima Dhawan,2300EC487,ECE,6.9,60,29,63,51,37,2,3,1,Placed,4.11,Amdocs
Preeti Bhatt,2200CS488,CSE,6.99,69,50,17,28,49,1,6,2,Not Placed,0.0,Not Placed
Kartik Dhawan,2100CS489,CSE,7.26,59,84,55,63,79,0,2,0,Placed,10.89,Mindtree
Mansi Arora,2100ME490,ME,8.27,46,41,62,49,48,2,5,2,Placed,4.27,Sasken
Aditya Khanna,2200ME491,ME,7.6,45,70,37,37,48,2,8,0,Placed,8.27,L&T Infotech
Shaurya Malhotra,2400CS492,CSE,7.64,41,100,55,58,63,2,8,2,Placed,10.33,Infosys
Neeraj Sethi,2400EE493,EE,7.99,71,80,10,49,76,3,8,1,Placed,4.99,NIIT
Ananya Iyer,2200CS494,CSE,8.49,61,69,58,53,61,2,6,3,Placed,3.31,Cyient
Sonal Chopra,2100CE495,CE,7.93,70,51,54,71,43,2,3,0,Placed,3.74,Cyient
Vidhi Goel,2100ME496,ME,4.68,49,0,35,40,48,2,3,3,Not Placed,0.0,Not Placed
Shruti Sharma,2200CE497,CE,8.5,49,48,61,64,74,0,1,2,Placed,4.21,Sasken
Vivaan Mukherjee,2300IT498,IT,5.38,36,47,41,45,86,0,6,0,Not Placed,0.0,Not Placed
Akash Singh,2100IT499,IT,7.01,71,59,17,63,35,1,5,0,Not Placed,0.0,Not Placed
Saanvi Bansal,2400IT500,IT,8.43,86,41,59,83,89,2,6,0,Placed,5.9,Wipro
Aman Das,2300IT501,IT,6.57,34,73,8,58,14,1,2,1,Not Placed,0.0,Not Placed
Jyoti Nair,2400ME502,ME,5.59,28,8,8,43,24,1,1,2,Not Placed,0.0,Not Placed
Kartik Bhatt,2200EE503,EE,7.83,58,12,37,53,39,0,1,1,Not Placed,0.0,Not Placed
Anika Pandey,2400CE504,CE,7.46,66,53,52,64,46,2,4,3,Placed,7.57,Mindtree
Sachin Srivastava,2100EC505,ECE,7.19,11,25,46,73,30,0,2,2,Not Placed,0.0,Not Placed
Harsh Iyer,2400EC506,ECE,7.91,76,35,38,48,51,4,5,3,Placed,7.29,Mindtree
Pooja Saxena,2400CE507,CE,6.55,39,62,59,55,36,4,7,0,Placed,3.53,Sapient
Kabir Tiwari,2100CS508,CSE,7.41,92,60,32,56,45,0,4,3,Placed,3.08,Mu Sigma
Shivani Verma,2200CS509,CSE,10.0,94,57,91,100,59,4,8,2,Placed,19.65,Adobe
Reyansh Dhawan,2100CE510,CE,7.34,71,37,77,63,47,1,5,1,Placed,4.25,Syntel
Aryan Gupta,2400ME511,ME,9.0,65,94,27,47,55,3,5,3,Placed,37.17,Samsung R&D
Akash Dubey,2100CS512,CSE,7.65,42,47,33,42,43,1,2,2,Placed,4.81,Concentrix
Pooja Chopra,2300ME513,ME,6.01,17,56,15,43,67,3,1,2,Not Placed,0.0,Not Placed
Neha Goel,2200CS514,CSE,7.61,40,72,40,74,49,2,6,1,Placed,4.59,Mphasis
Ankur Goel,2300EC515,ECE,7.12,67,45,47,43,71,3,4,1,Placed,7.74,TCS
Tushar Mukherjee,2400EE516,EE,9.94,73,56,76,47,33,2,5,1,Placed,6.87,TCS
Megha Nair,2300EC517,ECE,7.31,59,46,39,64,66,3,6,2,Placed,3.45,Amdocs
Sara Goel,2400ME518,ME,7.48,34,39,17,53,23,3,4,1,Not Placed,0.0,Not Placed
Himanshu Bhatt,2400CE519,CE,5.89,41,18,36,30,43,1,5,2,Not Placed,0.0,Not Placed
Advaith Goel,2200ME520,ME,6.23,38,55,36,59,39,1,7,0,Placed,4.55,Syntel
Manish Das,2400ME521,ME,7.27,37,62,34,48,88,2,4,1,Placed,6.59,Mindtree
Mohit Saxena,2300CS522,CSE,6.93,48,83,64,55,41,3,6,1,Placed,6.96,HCL
Megha Mishra,2400ME523,ME,5.87,31,53,24,44,50,1,5,4,Not Placed,0.0,Not Placed
